Processed,Method,URI
true,GET,https://docs.oracle.com/en/dcommon/js/global.js
true,GET,https://docs.oracle.com/en/
true,GET,http://docs.oracle.com/cd/E23003_01/html/en/cpyr.htm
true,GET,https://docs.oracle.com/cd/E23003_01/html/en/cpyr.htm
true,GET,https://docs.oracle.com/en/bundle.js
true,GET,https://docs.oracle.com/robots.txt
true,GET,https://docs.oracle.com/en/styles/images/favicon.ico
true,GET,https://docs.oracle.com/search/
true,GET,https://docs.oracle.com/
true,GET,https://docs.oracle.com/cds/
true,GET,https://docs.oracle.com/en/styles/home-page.css
true,GET,https://docs.oracle.com/cd/E23003_01/html/gifs/oracle.gif
true,GET,https://docs.oracle.com/pdf/E
true,GET,https://docs.oracle.com/pdf/F
true,GET,https://docs.oracle.com/pdf/G
true,GET,https://docs.oracle.com/pdf/H
true,GET,"https://docs.oracle.com/pls/topic/lookup (ctx,id)"
true,GET,https://docs.oracle.com/sitemap.xml
true,GET,https://docs.oracle.com/apps/search-client/
true,GET,https://docs.oracle.com/apps/search/
true,GET,https://docs.oracle.com/*/sp_common/*/$
true,GET,https://docs.oracle.com/*/dcommon/*/$
true,GET,https://docs.oracle.com/pdf/
true,GET,https://docs.oracle.com/hts/
true,GET,https://docs.oracle.com/search/css/images/favicon.ico
true,GET,https://docs.oracle.com/*/sp_common/*.htm
true,GET,https://docs.oracle.com/*/dcommon/*.htm
true,GET,https://docs.oracle.com/*/placeholder.html
true,GET,https://docs.oracle.com/*/sptest/
true,GET,https://docs.oracle.com/*/sptest/saas/
true,GET,https://docs.oracle.com/cloud/r13_update17c/
true,GET,https://docs.oracle.com/sp_common/book-template/ohc-common/img/o-icon/favicon-192.png
true,GET,https://docs.oracle.com/cloud/r13_update17b/
true,GET,https://docs.oracle.com/en/cloud/saas/r13-update17d/
true,GET,https://docs.oracle.com/en/cloud/saas/r13-update18a/
true,GET,https://docs.oracle.com/sp_common/book-template/ohc-common/img/o-icon/favicon-128.png
