rel_path,is_anchor,pandoc_data_type,label,anchor_id,buid,iid,in_use
./extendscript-toolkit/code-profiling-for-optimization.html,false,,Code profiling for optimization,,1,,true
./extendscript-toolkit/code-profiling-for-optimization.html,true,Div,Code profiling for optimization,code-profiling-for-optimization,1,1,false
./extendscript-toolkit/code-profiling-for-optimization.html,true,Header,Code profiling for optimization,code-profiling-for-optimization,1,2,false
./extendscript-toolkit/code-profiling-for-optimization.html,true,Span,Code profiling for optimization,id1,1,3,false
./extendscript-toolkit/configuring-the-toolkit-window.html,false,,Configuring the Toolkit window,,2,,true
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Div,Configuring the Toolkit window,panel-menus,2,1,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Div,Configuring the Toolkit window,document-windows,2,2,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Div,Configuring the Toolkit window,workspaces,2,3,true
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Div,Configuring the Toolkit window,dialogs,2,4,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Div,Configuring the Toolkit window,configuring-the-toolkit-window,2,5,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Header,Configuring the Toolkit window,configuring-the-toolkit-window,2,6,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Header,Configuring the Toolkit window,panel-menus,2,7,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Header,Configuring the Toolkit window,document-windows,2,8,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Header,Configuring the Toolkit window,workspaces,2,9,true
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Header,Configuring the Toolkit window,dialogs,2,a,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Span,Configuring the Toolkit window,id1,2,b,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Span,Configuring the Toolkit window,id2,2,c,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Span,Configuring the Toolkit window,id3,2,d,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Span,Configuring the Toolkit window,id4,2,e,false
./extendscript-toolkit/configuring-the-toolkit-window.html,true,Span,Configuring the Toolkit window,id5,2,f,false
./extendscript-toolkit/debugging-in-the-toolkit.html,false,,Debugging in the Toolkit,,3,,true
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,selecting-a-debugging-target,3,1,true
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,the-javascript-console,3,2,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,controlling-code-execution,3,3,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,visual-indication-of-execution-states,3,4,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,the-breakpoints-panel,3,5,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,breakpoint-icons,3,6,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,setting-breakpoints,3,7,true
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,evaluation-in-help-tips,3,8,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,tracking-data,3,9,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,the-call-stack,3,a,true
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Div,Debugging in the Toolkit,debugging-in-the-toolkit,3,b,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Header,Debugging in the Toolkit,debugging-in-the-toolkit,3,c,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Header,Debugging in the Toolkit,selecting-a-debugging-target,3,d,true
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Header,Debugging in the Toolkit,the-javascript-console,3,e,false
./extendscript-toolkit/debugging-in-the-toolkit.html,true,Header,Debugging in the Toolkit,controlling-code-execution,3,f,false
