rel_path,is_anchor,pandoc_data_type,label,anchor_id,buid,iid,in_use
./attribution.html,false,,Attribution,,1,,true
./blog.html,false,,blog,,2,,true
./blog/cheerio-1.0.html,false,,"Cheerio 1.0 Released, Batteries Included 🔋",,3,,true
./blog/new-website.html,false,,"New Website, Who Dis?",,4,,true
./blog/tags.html,false,,Tags,,5,,true
./blog/tags/announcement.html,false,,One post tagged with announcement,,6,,true
./blog/tags/intro.html,false,,One post tagged with intro,,7,,true
./blog/tags/release.html,false,,One post tagged with release,,8,,true
./blog/tags/website.html,false,,One post tagged with website,,9,,true
./docs/advanced/configuring-cheerio.html,false,,Configuring Cheerio,,a,,true
./docs/advanced/configuring-cheerio.html,true,Div,Configuring Cheerio,user-content-fn-1,a,1,true
./docs/advanced/configuring-cheerio.html,true,Header,Configuring Cheerio,configuring-cheerio,a,2,false
./docs/advanced/configuring-cheerio.html,true,Header,Configuring Cheerio,parsing-html-with-parse5,a,3,true
./docs/advanced/configuring-cheerio.html,true,Header,Configuring Cheerio,fragment-mode,a,4,true
./docs/advanced/configuring-cheerio.html,true,Header,Configuring Cheerio,parsing-xml-with-htmlparser2,a,5,true
./docs/advanced/configuring-cheerio.html,true,Header,Configuring Cheerio,using-htmlparser2-for-html,a,6,true
./docs/advanced/configuring-cheerio.html,true,Header,Configuring Cheerio,conclusion,a,7,true
./docs/advanced/configuring-cheerio.html,true,Header,Configuring Cheerio,footnote-label,a,8,true
./docs/advanced/configuring-cheerio.html,true,Link,Configuring Cheerio,user-content-fnref-1,a,9,true
./docs/advanced/extending-cheerio.html,false,,Extending Cheerio,,b,,true
./docs/advanced/extending-cheerio.html,true,Header,Extending Cheerio,extending-cheerio,b,1,false
./docs/advanced/extending-cheerio.html,true,Header,Extending Cheerio,adding-custom-css-pseudo-classes,b,2,true
./docs/advanced/extending-cheerio.html,true,Header,Extending Cheerio,writing-plugins-for-cheerio,b,3,true
./docs/advanced/extract.html,false,,Extracting Data with the  extract  Method,,c,,true
./docs/advanced/extract.html,true,Header,Extracting Data with the  extract  Method,extracting-data-with-the-extract-method,c,1,false
./docs/advanced/extract.html,true,Header,Extracting Data with the  extract  Method,putting-it-all-together,c,2,true
./docs/api.html,false,,cheerio,,d,,true
./docs/api.html,true,Header,cheerio,cheerio,d,1,false
./docs/api.html,true,Header,cheerio,loading,d,2,true
./docs/api.html,true,Header,cheerio,other,d,3,true
./docs/api.html,true,Header,cheerio,static,d,4,true
