rel_path,is_anchor,pandoc_data_type,label,anchor_id,buid,iid,in_use
./en-US/docs/Web/HTML/Guides.html,false,,HTML guides,,1,,true
./en-US/docs/Web/HTML/Guides.html,true,Div,HTML guides,on-github,1,1,false
./en-US/docs/Web/HTML/Guides.html,true,Div,HTML guides,content,1,2,false
./en-US/docs/Web/HTML/Guides.html,true,Header,HTML guides,html-guides,1,3,false
./en-US/docs/Web/HTML/Guides.html,true,Header,HTML guides,help-improve-mdn,1,4,false
./en-US/docs/Web/HTML/Guides/Cheatsheet.html,false,,HTML cheatsheet for syntax and common tasks,,2,,true
./en-US/docs/Web/HTML/Guides/Cheatsheet.html,true,Div,HTML cheatsheet for syntax and common tasks,on-github,2,1,false
./en-US/docs/Web/HTML/Guides/Cheatsheet.html,true,Div,HTML cheatsheet for syntax and common tasks,content,2,2,false
./en-US/docs/Web/HTML/Guides/Cheatsheet.html,true,Header,HTML cheatsheet for syntax and common tasks,html-cheatsheet-for-syntax-and-common-tasks,2,3,false
./en-US/docs/Web/HTML/Guides/Cheatsheet.html,true,Header,HTML cheatsheet for syntax and common tasks,inline_elements,2,4,true
./en-US/docs/Web/HTML/Guides/Cheatsheet.html,true,Header,HTML cheatsheet for syntax and common tasks,block_elements,2,5,true
./en-US/docs/Web/HTML/Guides/Cheatsheet.html,true,Header,HTML cheatsheet for syntax and common tasks,help-improve-mdn,2,6,false
./en-US/docs/Web/HTML/Guides/Comments.html,false,,Using HTML comments <!-- … -->,,3,,true
./en-US/docs/Web/HTML/Guides/Comments.html,true,Div,Using HTML comments <!-- … -->,on-github,3,1,false
./en-US/docs/Web/HTML/Guides/Comments.html,true,Div,Using HTML comments <!-- … -->,content,3,2,false
./en-US/docs/Web/HTML/Guides/Comments.html,true,Header,Using HTML comments <!-- … -->,using-html-comments------,3,3,false
./en-US/docs/Web/HTML/Guides/Comments.html,true,Header,Using HTML comments <!-- … -->,syntax,3,4,true
./en-US/docs/Web/HTML/Guides/Comments.html,true,Header,Using HTML comments <!-- … -->,examples,3,5,true
./en-US/docs/Web/HTML/Guides/Comments.html,true,Header,Using HTML comments <!-- … -->,notes,3,6,true
./en-US/docs/Web/HTML/Guides/Comments.html,true,Header,Using HTML comments <!-- … -->,specifications,3,7,true
./en-US/docs/Web/HTML/Guides/Comments.html,true,Header,Using HTML comments <!-- … -->,see_also,3,8,true
./en-US/docs/Web/HTML/Guides/Comments.html,true,Header,Using HTML comments <!-- … -->,help-improve-mdn,3,9,false
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,false,,Using HTML form validation and the Constraint Validation API,,4,,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Div,Using HTML form validation and the Constraint Validation API,on-github,4,1,false
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Div,Using HTML form validation and the Constraint Validation API,content,4,2,false
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,using-html-form-validation-and-the-constraint-validation-api,4,3,false
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,intrinsic_and_basic_constraints,4,4,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,semantic_input_types,4,5,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,validation-related_attributes,4,6,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,constraint_validation_process,4,7,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,complex_constraints_using_the_constraint_validation_api,4,8,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,constraint_combining_several_fields_postal_code_validation,4,9,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,limiting_the_size_of_a_file_before_its_upload,4,a,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,visual_styling_of_constraint_validation,4,b,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,controlling_the_look_of_elements,4,c,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,required_and_optional_css_pseudo-classes,4,d,false
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,placeholder-shown_css_pseudo-class,4,e,false
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,valid_invalid_css_pseudo-classes,4,f,false
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,controlling_the_text_of_constraint_violation,4,g,true
./en-US/docs/Web/HTML/Guides/Constraint_validation.html,true,Header,Using HTML form validation and the Constraint Validation API,help-improve-mdn,4,h,false
./en-US/docs/Web/HTML/Guides/Content_categories.html,false,,Content categories,,5,,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Div,Content categories,on-github,5,1,false
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Div,Content categories,content,5,2,false
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,content-categories,5,3,false
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,metadata_content,5,4,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,flow_content,5,5,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,sectioning_content,5,6,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,heading_content,5,7,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,phrasing_content,5,8,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,embedded_content,5,9,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,interactive_content,5,a,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,palpable_content,5,b,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,script-supporting_elements,5,c,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,form-associated_content,5,d,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,transparent_content_model,5,e,true
./en-US/docs/Web/HTML/Guides/Content_categories.html,true,Header,Content categories,help-improve-mdn,5,f,false
./en-US/docs/Web/HTML/Guides/Date_and_time_formats.html,false,,Using date and time formats in HTML,,6,,true
./en-US/docs/Web/HTML/Guides/Date_and_time_formats.html,true,Div,Using date and time formats in HTML,on-github,6,1,false
./en-US/docs/Web/HTML/Guides/Date_and_time_formats.html,true,Div,Using date and time formats in HTML,content,6,2,false
