rel_path,is_anchor,pandoc_data_type,label,anchor_id,buid,iid,in_use
./en-US/docs/Web/JavaScript/Guide.html,false,,JavaScript Guide,,1,,true
./en-US/docs/Web/JavaScript/Guide.html,true,Div,JavaScript Guide,on-github,1,1,false
./en-US/docs/Web/JavaScript/Guide.html,true,Div,JavaScript Guide,content,1,2,false
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,javascript-guide,1,3,false
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,introduction,1,4,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,grammar_and_types,1,5,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,control_flow_and_error_handling,1,6,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,loops_and_iteration,1,7,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,functions,1,8,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,expressions_and_operators,1,9,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,numbers_and_strings,1,a,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,representing_dates_times,1,b,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,regular_expressions,1,c,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,indexed_collections,1,d,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,keyed_collections,1,e,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,working_with_objects,1,f,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,using_classes,1,g,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,promises,1,h,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,typed_arrays,1,i,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,iterators_and_generators,1,j,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,internationalization,1,k,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,meta_programming,1,l,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,javascript_modules,1,m,true
./en-US/docs/Web/JavaScript/Guide.html,true,Header,JavaScript Guide,help-improve-mdn,1,n,false
./en-US/docs/Web/JavaScript/Guide/Closures.html,false,,Closures,,2,,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Div,Closures,on-github,2,1,false
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Div,Closures,content,2,2,false
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,closures,2,3,false
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,lexical_scoping,2,4,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,scoping_with_let_and_const,2,5,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,closure,2,6,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,practical_closures,2,7,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,emulating_private_methods_with_closures,2,8,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,closure_scope_chain,2,9,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,creating_closures_in_loops_a_common_mistake,2,a,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,performance_considerations,2,b,true
./en-US/docs/Web/JavaScript/Guide/Closures.html,true,Header,Closures,help-improve-mdn,2,c,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,false,,Control flow and error handling,,3,,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Div,Control flow and error handling,on-github,3,1,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Div,Control flow and error handling,content,3,2,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,control-flow-and-error-handling,3,3,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,block_statement,3,4,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,example,3,5,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,conditional_statements,3,6,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,if...else_statement,3,7,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,best_practice,3,8,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,falsy_values,3,9,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,example_2,3,a,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,switch_statement,3,b,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,break_statements,3,c,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,example_3,3,d,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,exception_handling_statements,3,e,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,exception_types,3,f,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,throw_statement,3,g,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,try...catch_statement,3,h,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,the_catch_block,3,i,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,the_finally_block,3,j,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,nesting_try...catch_statements,3,k,false
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,utilizing_error_objects,3,l,true
./en-US/docs/Web/JavaScript/Guide/Control_flow_and_error_handling.html,true,Header,Control flow and error handling,help-improve-mdn,3,m,false
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,false,,JavaScript data types and data structures,,4,,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Div,JavaScript data types and data structures,on-github,4,1,false
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Div,JavaScript data types and data structures,content,4,2,false
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,javascript-data-types-and-data-structures,4,3,false
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,dynamic_and_weak_typing,4,4,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,primitive_values,4,5,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,null_type,4,6,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,undefined_type,4,7,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,boolean_type,4,8,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,number_type,4,9,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,bigint_type,4,a,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,string_type,4,b,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,beware_of_stringly-typing_your_code!,4,c,false
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,symbol_type,4,d,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,objects,4,e,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,properties,4,f,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,data_property,4,g,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,accessor_property,4,h,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,dates,4,i,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,indexed_collections_arrays_and_typed_arrays,4,j,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,keyed_collections_maps_sets_weakmaps_weaksets,4,k,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,structured_data_json,4,l,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,more_objects_in_the_standard_library,4,m,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,type_coercion,4,n,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,primitive_coercion,4,o,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,numeric_coercion,4,p,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,other_coercions,4,q,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,see_also,4,r,true
./en-US/docs/Web/JavaScript/Guide/Data_structures.html,true,Header,JavaScript data types and data structures,help-improve-mdn,4,s,false
./en-US/docs/Web/JavaScript/Guide/Enumerability_and_ownership_of_properties.html,false,,Enumerability and ownership of properties,,5,,true
./en-US/docs/Web/JavaScript/Guide/Enumerability_and_ownership_of_properties.html,true,Div,Enumerability and ownership of properties,on-github,5,1,false
./en-US/docs/Web/JavaScript/Guide/Enumerability_and_ownership_of_properties.html,true,Div,Enumerability and ownership of properties,content,5,2,false
./en-US/docs/Web/JavaScript/Guide/Enumerability_and_ownership_of_properties.html,true,Header,Enumerability and ownership of properties,enumerability-and-ownership-of-properties,5,3,false
./en-US/docs/Web/JavaScript/Guide/Enumerability_and_ownership_of_properties.html,true,Header,Enumerability and ownership of properties,querying_object_properties,5,4,true
./en-US/docs/Web/JavaScript/Guide/Enumerability_and_ownership_of_properties.html,true,Header,Enumerability and ownership of properties,traversing_object_properties,5,5,true
