rel_path,is_anchor,pandoc_data_type,label,anchor_id,buid,iid,in_use
./Games.html,false,,Game development,,1,,true
./Games.html,true,Div,Game development,on-github,1,1,false
./Games.html,true,Div,Game development,content,1,2,false
./Games.html,true,Header,Game development,game-development,1,3,false
./Games.html,true,Header,Game development,develop_web_games,1,4,true
./Games.html,true,Header,Game development,port_native_games_to_the_web,1,5,true
./Games.html,true,Header,Game development,examples,1,6,true
./Games.html,true,Header,Game development,see_also,1,7,true
./Games.html,true,Header,Game development,help-improve-mdn,1,8,false
./Games/Anatomy.html,false,,Anatomy of a video game,,2,,true
./Games/Anatomy.html,true,Div,Anatomy of a video game,on-github,2,1,false
./Games/Anatomy.html,true,Div,Anatomy of a video game,content,2,2,false
./Games/Anatomy.html,true,Header,Anatomy of a video game,anatomy-of-a-video-game,2,3,false
./Games/Anatomy.html,true,Header,Anatomy of a video game,present_accept_interpret_calculate_repeat,2,4,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,building_a_main_loop_in_javascript,2,5,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,building_a_better_main_loop_in_javascript,2,6,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,building_a_more_optimized_main_loop_in_javascript,2,7,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,it_is_decision…_time,2,8,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,what_most_browser_games_should_look_like,2,9,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,other_ways_to_handle_variable_refresh_rate_needs,2,a,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,summary,2,b,true
./Games/Anatomy.html,true,Header,Anatomy of a video game,help-improve-mdn,2,c,false
./Games/Introduction.html,false,,Introduction to game development for the Web,,3,,true
./Games/Introduction.html,true,Div,Introduction to game development for the Web,on-github,3,1,false
./Games/Introduction.html,true,Div,Introduction to game development for the Web,content,3,2,false
./Games/Introduction.html,true,Header,Introduction to game development for the Web,introduction-to-game-development-for-the-web,3,3,false
./Games/Introduction.html,true,Header,Introduction to game development for the Web,the_html_game_platform,3,4,true
./Games/Introduction.html,true,Header,Introduction to game development for the Web,the_business_case,3,5,true
./Games/Introduction.html,true,Header,Introduction to game development for the Web,web_technologies_for_game_developers,3,6,true
./Games/Introduction.html,true,Header,Introduction to game development for the Web,help-improve-mdn,3,7,false
./Games/Publishing_games.html,false,,Publishing games,,4,,true
./Games/Publishing_games.html,true,Div,Publishing games,on-github,4,1,false
./Games/Publishing_games.html,true,Div,Publishing games,content,4,2,false
./Games/Publishing_games.html,true,Header,Publishing games,publishing-games,4,3,false
./Games/Publishing_games.html,true,Header,Publishing games,game_distribution,4,4,true
./Games/Publishing_games.html,true,Header,Publishing games,game_promotion,4,5,true
./Games/Publishing_games.html,true,Header,Publishing games,game_monetization,4,6,true
./Games/Publishing_games.html,true,Header,Publishing games,help-improve-mdn,4,7,false
./Games/Publishing_games/Game_distribution.html,false,,Game distribution,,5,,true
./Games/Publishing_games/Game_distribution.html,true,Div,Game distribution,on-github,5,1,false
./Games/Publishing_games/Game_distribution.html,true,Div,Game distribution,content,5,2,false
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,game-distribution,5,3,false
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,benefits_of_html_over_native,5,4,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,multiplatform_bliss,5,5,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,instant_updates,5,6,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,direct_link_distribution_and_instant_play,5,7,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,desktop_vs._mobile,5,8,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,publishing_the_game,5,9,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,self-hosting,5,a,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,publishers_and_portals,5,b,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,web_and_native_stores,5,c,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,marketplaces_—_distribution_platforms,5,d,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,web_stores,5,e,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,native_mobile_stores,5,f,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,native_desktop,5,g,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,packaging_games,5,h,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,available_tools,5,i,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,summary,5,j,true
./Games/Publishing_games/Game_distribution.html,true,Header,Game distribution,help-improve-mdn,5,k,false
./Games/Publishing_games/Game_monetization.html,false,,Game monetization,,6,,true
./Games/Publishing_games/Game_monetization.html,true,Div,Game monetization,on-github,6,1,false
./Games/Publishing_games/Game_monetization.html,true,Div,Game monetization,content,6,2,false
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,game-monetization,6,3,false
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,paid_games,6,4,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,in-app_purchases,6,5,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,freemium,6,6,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,add-ons_and_dlcs,6,7,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,advertisements,6,8,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,licensing,6,9,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,exclusive_licenses,6,a,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,non-exclusive_licenses,6,b,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,subscriptions,6,c,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,ad_revenue,6,d,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,branding,6,e,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,other_non-game_focused_monetization_strategies,6,f,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,selling_resources,6,g,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,writing_articles_and_tutorials,6,h,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,merchandise,6,i,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,donations,6,j,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,summary,6,k,true
./Games/Publishing_games/Game_monetization.html,true,Header,Game monetization,help-improve-mdn,6,l,false
./Games/Publishing_games/Game_promotion.html,false,,Game promotion,,7,,true
./Games/Publishing_games/Game_promotion.html,true,Div,Game promotion,on-github,7,1,false
./Games/Publishing_games/Game_promotion.html,true,Div,Game promotion,content,7,2,false
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,game-promotion,7,3,false
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,competitions,7,4,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,website_and_blog,7,5,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,social_media,7,6,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,game_portals,7,7,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,press,7,8,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,tutorials,7,9,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,events,7,a,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,conferences,7,b,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,fairs,7,c,true
./Games/Publishing_games/Game_promotion.html,true,Header,Game promotion,promo_codes,7,d,true
