rel_path,is_anchor,pandoc_data_type,label,anchor_id,buid,iid,in_use
./en-US/docs/Web/SVG/Guides.html,false,,SVG guides,,1,,true
./en-US/docs/Web/SVG/Guides.html,true,Div,SVG guides,on-github,1,1,false
./en-US/docs/Web/SVG/Guides.html,true,Div,SVG guides,content,1,2,false
./en-US/docs/Web/SVG/Guides.html,true,Header,SVG guides,svg-guides,1,3,false
./en-US/docs/Web/SVG/Guides.html,true,Header,SVG guides,see_also,1,4,true
./en-US/docs/Web/SVG/Guides.html,true,Header,SVG guides,help-improve-mdn,1,5,false
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,false,,Applying SVG effects to HTML content,,2,,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Div,Applying SVG effects to HTML content,on-github,2,1,false
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Div,Applying SVG effects to HTML content,content,2,2,false
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,applying-svg-effects-to-html-content,2,3,false
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,using_embedded_svg,2,4,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,example_masking,2,5,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,example_clipping,2,6,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,example_filtering,2,7,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,example_blurred_text,2,8,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,example_text_effects,2,9,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,using_external_references,2,a,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,see_also,2,b,true
./en-US/docs/Web/SVG/Guides/Applying_SVG_effects_to_HTML_content.html,true,Header,Applying SVG effects to HTML content,help-improve-mdn,2,c,false
./en-US/docs/Web/SVG/Guides/Content_type.html,false,,Content type,,3,,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Div,Content type,on-github,3,1,false
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Div,Content type,content,3,2,false
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,content-type,3,3,false
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,angle,3,4,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,anything,3,5,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,clock-value,3,6,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,color,3,7,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,coordinate,3,8,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,frequency,3,9,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,funciri,3,a,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,integer,3,b,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,iri,3,c,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,length,3,d,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,list-of-ts,3,e,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,name,3,f,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,number,3,g,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,number-optional-number,3,h,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,opacity_value,3,i,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,paint,3,j,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,percentage,3,k,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,time,3,l,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,transform-list,3,m,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,url,3,n,true
./en-US/docs/Web/SVG/Guides/Content_type.html,true,Header,Content type,help-improve-mdn,3,o,false
./en-US/docs/Web/SVG/Guides/Linking.html,false,,Linking,,4,,true
./en-US/docs/Web/SVG/Guides/Linking.html,true,Div,Linking,on-github,4,1,false
./en-US/docs/Web/SVG/Guides/Linking.html,true,Div,Linking,content,4,2,false
./en-US/docs/Web/SVG/Guides/Linking.html,true,Header,Linking,linking,4,3,false
./en-US/docs/Web/SVG/Guides/Linking.html,true,Header,Linking,example,4,4,true
